category,comment,director,ranking,rate,region,score_number,title,year
犯罪 剧情,希望让人自由。,"弗兰克·德拉邦特 ,Frank Darabont",1,9.7,美国,1944879,"肖申克的救赎,The Shawshank Redemption,月黑高飞(港)  /  刺激1995(台)",1994
剧情 爱情 同性,风华绝代。,"陈凯歌 ,Kaige Chen",2,9.6,中国大陆 中国香港,1432756,"霸王别姬,再见，我的妾  /  Farewell My Concubine",1993
剧情 爱情,一部美国近现代史。,"罗伯特·泽米吉斯 ,Robert Zemeckis",3,9.5,美国,1476537,"阿甘正传,Forrest Gump,福雷斯特·冈普",1994
剧情 动作 犯罪,怪蜀黍和小萝莉不得不说的故事。,"吕克·贝松 ,Luc Besson",4,9.4,法国,1671216,"这个杀手不太冷,Léon,杀手莱昂  /  终极追杀令(台)",1994
剧情 喜剧 爱情 战争,最美的谎言。,"罗伯托·贝尼尼 ,Roberto Benigni",5,9.5,意大利,933628,"美丽人生,La vita è bella,一个快乐的传说(港)  /  Life Is Beautiful",1997
剧情 爱情 灾难,失去的才是永恒的。 ,"詹姆斯·卡梅隆 ,James Cameron",6,9.4,美国,1422448,"泰坦尼克号,Titanic,铁达尼号(港 / 台)",1997
剧情 动画 奇幻,最好的宫崎骏，最好的久石让。 ,"宫崎骏 ,Hayao Miyazaki",7,9.3,日本,1520928,"千与千寻,千と千尋の神隠し,神隐少女(台)  /  千与千寻的神隐",2001
剧情 历史 战争,拯救一个人，就是拯救整个世界。,"史蒂文·斯皮尔伯格 ,Steven Spielberg",8,9.5,美国,753795,"辛德勒的名单,Schindler's List,舒特拉的名单(港)  /  辛德勒名单",1993
剧情 科幻 悬疑 冒险,诺兰给了我们一场无法盗取的梦。,"克里斯托弗·诺兰 ,Christopher Nolan",9,9.3,美国 英国,1418509,"盗梦空间,Inception,潜行凶间(港)  /  全面启动(台)",2010
剧情,永远都不能忘记你所爱的人。,"莱塞·霍尔斯道姆 ,Lasse Hallström",10,9.4,美国 英国,978221,"忠犬八公的故事,Hachi: A Dog's Tale,忠犬小八(台)  /  秋田犬八千(港)",2009
剧情 音乐,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,"朱塞佩·托纳多雷 ,Giuseppe Tornatore",11,9.3,意大利,1179932,"海上钢琴师,La leggenda del pianista sull'oceano,声光伴我飞(港)  /  一九零零的传奇",1998
科幻 动画 冒险,小瓦力，大人生。,"安德鲁·斯坦顿 ,Andrew Stanton",12,9.3,美国,936050,"机器人总动员,WALL·E,瓦力(台)  /  太空奇兵·威E(港)",2008
剧情 喜剧 爱情 歌舞,英俊版憨豆，高情商版谢耳朵。,"拉库马·希拉尼 ,Rajkumar Hirani",13,9.2,印度,1307552,"三傻大闹宝莱坞,3 Idiots,三个傻瓜(台)  /  作死不离3兄弟(港)",2009
剧情 科幻,如果再也不能见到你，祝你早安，午安，晚安。,"彼得·威尔 ,Peter Weir",14,9.3,美国,1042581,"楚门的世界,The Truman Show,真人Show(港)  /  真人戏",1998
剧情 音乐,天籁一般的童声，是最接近上帝的存在。 ,"克里斯托夫·巴拉蒂 ,Christophe Barratier",15,9.3,法国 瑞士 德国,910082,"放牛班的春天,Les choristes,歌声伴我心(港)  /  唱诗班男孩",2004
剧情 科幻 冒险,爱是一种力量，让我们超越时空感知它的存在。,"克里斯托弗·诺兰 ,Christopher Nolan",16,9.3,美国 英国 加拿大 冰岛,1051441,"星际穿越,Interstellar,星际启示录(港)  /  星际效应(台)",2014
喜剧 爱情 奇幻 古装,一生所爱。,"刘镇伟 ,Jeffrey Lau",17,9.2,中国香港 中国大陆,1028779,"大话西游之大圣娶亲,西遊記大結局之仙履奇緣,西游记完结篇仙履奇缘  /  齐天大圣西游记",1995
剧情,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,"黄东赫 ,Dong-hyuk Hwang",18,9.3,韩国,631726,"熔炉,도가니,无声呐喊(港)  /  漩涡",2011
喜剧 动画 冒险,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,"拜伦·霍华德 ,Byron Howard ",19,9.2,美国,1222135,"疯狂动物城,Zootopia,优兽大都会(港)  /  动物方城市(台)",2016
剧情 犯罪 悬疑,香港电影史上永不过时的杰作。,"刘伟强 ,",20,9.2,中国香港,838866,"无间道,無間道,Infernal Affairs  /  Mou gaan dou",2002
动画 奇幻 冒险,人人心中都有个龙猫，童年就永远不会消失。,"宫崎骏 ,Hayao Miyazaki",21,9.2,日本,876989,"龙猫,となりのトトロ,邻居托托罗  /  邻家的豆豆龙",1988
剧情 犯罪,千万不要记恨你的对手，这样会让你失去理智。,"弗朗西斯·福特·科波拉 ,Francis Ford Coppola",22,9.3,美国,641951,"教父,The Godfather,Mario Puzo's The Godfather",1972
剧情 传记 家庭,平民励志片。 ,"加布里尔·穆奇诺 ,Gabriele Muccino",23,9.1,美国,1047155,"当幸福来敲门,The Pursuit of Happyness,寻找快乐的故事(港)  /  追求快乐",2006
剧情 喜剧 爱情,真正的幸福是来自内心深处。,"罗伯·莱纳 ,Rob Reiner",24,9.1,美国,1210920,"怦然心动,Flipped,萌动青春  /  青春萌动",2010
剧情 喜剧,满满温情的高雅喜剧。,"奥利维·那卡什 ,Olivier Nakache ",25,9.2,法国,684124,"触不可及,Intouchables,闪亮人生(港)  /  逆转人生(台)",2011
剧情 动作 科幻 犯罪 惊悚,无尽的黑暗。,"克里斯托弗·诺兰 ,Christopher Nolan",26,9.2,美国 英国,705371,"蝙蝠侠：黑暗骑士,The Dark Knight,蝙蝠侠前传2：黑暗骑士  /  黑暗骑士(台)",2008
剧情 犯罪 悬疑,比利·怀德满分作品。,"比利·怀尔德 ,Billy Wilder",27,9.6,美国,266275,"控方证人,Witness for the Prosecution,雄才伟略  /  情妇",1957
剧情 历史 家庭,张艺谋最好的电影。,"张艺谋 ,Yimou Zhang",28,9.2,中国大陆 中国香港,544608,"活着,人生  /  Lifetimes",1994
剧情 历史 爱情 战争,Tomorrow is another day.,"维克多·弗莱明 ,Victor Fleming ",29,9.3,美国,468012,"乱世佳人,Gone with the Wind,飘",1939
喜剧 动画 奇幻 音乐,死亡不是真的逝去，遗忘才是永恒的消亡。,"李·昂克里奇 ,Lee Unkrich ",30,9.1,美国,1017442,"寻梦环游记,Coco,可可夜总会(台)  /  玩转极乐园(港)",2017
剧情 传记 历史,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,"贝纳尔多·贝托鲁奇 ,Bernardo Bertolucci",31,9.2,英国 意大利 中国大陆 法国,483025,"末代皇帝,The Last Emperor,末代皇帝溥仪(港)",1987
